527,80.64,94,0.13,0.02,77.56
528,85.25,93.3,0.12,0.03,76.83
529,87.23,93.23,0.14,0.04,76.18
530,82.9,92.61,0.09,0.03,75.58
531,71.15,91.45,0.32,0.02,75.22
532,55.94,88.83,0.14,0.02,75.18
533,38.54,85.55,0.15,0.02,75.55
534,26.61,82.01,0.13,0.02,76.09
535,17.1,80.33,0.1,0.02,77.08
536,11.43,80.16,0.09,0.02,79.06
537,7.79,81.88,0.12,0.02,80.22
538,5.22,85.66,0.08,0.03,82.84
539,3.75,89.86,0.14,0.02,84.47
540,2.69,94.76,0.11,0.01,86.82
541,1.96,98.08,0.06,0.02,88.43
542,1.51,99.48,0.04,0.02,90.2
543,1.17,99.35,0.1,0.01,90.33
544,0.93,98.36,0.06,0.02,90.29
545,0.77,97.14,0.1,0.02,89.56
546,0.64,97.17,0.07,0.02,88.4
547,0.53,97.61,0.08,0.02,86.96
548,0.43,98.19,0.08,0.02,84.86
549,0.34,98.6,0.08,0.02,82.79
550,0.27,99.71,0.06,0.02,81.07
551,0.2,100,0.1,0.02,80.03
552,0.11,99.7,0.09,0.03,79.07
553,0.06,99.15,0.1,0.02,78.82
554,0.03,98.71,0.09,0.02,78.95
555,0.02,98.19,0.07,0.01,79.81
556,0.02,97.64,0.07,0.02,81.19
557,0.01,97.43,0.09,0.01,83.87
558,0.01,96.08,0.09,0.02,85.02
559,0.01,94.89,0.09,0.01,86.68
560,0.01,93.76,0.15,0.02,86.53
561,0.01,93.07,0.08,0.02,85.61
562,0.01,93.03,0.08,0.02,84.03
563,0.01,93.51,0.09,0.01,81.82
564,0.01,95.12,0.1,0.01,78.88
565,0.01,96.7,0.07,0.01,76.53
566,0.01,98.22,0.08,0.02,74.89
567,0.01,98.23,0.09,0.02,73.18
568,0.01,97.35,0.04,0.02,72.58
569,0.01,95.79,0.09,0.01,72.9
570,0.01,92.84,0.13,0.01,73.69
571,0.01,89.68,0.14,0.02,75.41
572,0.01,86.61,0.14,0.02,77.13
573,0.01,84.47,0.09,0.02,78.53
574,0.01,83.19,0.12,0.03,80.35
575,0.01,83.05,0.1,0.03,81
576,0.01,83.97,0.12,0.02,81.53
577,0.01,85.37,0.08,0.02,80.67
578,0.01,87.47,0.11,0.02,79.3
579,0.01,89.39,0.09,0.02,77.55
580,0.01,90.81,0.09,0.02,75.86
581,0.01,91.48,0.1,0.02,74.54
582,0.01,91.48,0.05,0.01,73.78
583,0.01,90.23,0.1,0.01,73.4
584,0.01,88.95,0.08,0.02,73.48
585,0.01,87.37,0.09,0.02,74.01
586,0.01,85.83,0.11,0.02,75.1
587,0.01,84.37,0.07,0.03,76.16
588,0.01,83.45,0.07,0.02,77.84
589,0.01,82.13,0.1,0.01,79.09
590,0.01,81.48,0.08,0.01,80.47
591,0,80.11,-0.02,0.01,80.86
592,0.01,79.03,0.09,0.02,81.81
593,0.01,77.38,0.09,0.01,81.83
594,0.01,75.92,0.1,0.01,81.9
595,0.01,74.35,0.11,0.01,81.5
596,0.01,73.11,0.13,0.01,80.88
597,0.01,72.03,0.11,0.01,80.63
598,0.01,71.5,0.12,0.01,80
599,0.01,71.16,0.08,0.01,79.68
600,0.01,71.24,0.11,0.02,79.7
601,0.01,71.78,0.14,0.01,80.19
602,0.01,72.25,0.13,0.01,80.51
603,0.01,71.1,0.11,0.01,81.07
604,0.01,68.17,0.15,0.01,81.42
605,0.01,61.78,0.16,0.01,81.64
606,0.01,50.71,0.18,0.01,81.3
607,0.01,38.84,0.19,0.01,81.47
608,0.01,26.56,0.21,0.01,81.37
609,0.01,17.47,0.23,0.01,81.52
610,0.01,11.65,0.21,0.01,81.86
611,0.01,7.91,0.14,0.01,82.42
612,0.01,5.4,0.14,0.01,82.97
613,0.01,3.9,0.31,0.01,83.15
614,0.01,2.9,0.35,0.01,83.75
615,0.01,2.25,0.4,0.01,83.97
616,0.01,1.75,0.5,0.01,84.84
617,0.01,1.43,0.61,0.01,85.25
618,0.01,1.23,0.79,0.01,85.85
619,0.01,1.01,1.09,0.01,86.51
620,0.01,0.86,1.45,0.01,86.78
621,0.01,0.7,2.06,0.01,86.92
622,0.01,0.57,3.01,0.02,86.79
623,0.01,0.48,4.41,0.01,86.63
624,0.01,0.36,6.23,0.01,86.1
625,0.01,0.28,8.51,0.01,85.61
626,0,0.23,11.49,0.01,85.15
627,0.01,0.17,14.76,0.01,84.71
628,0.01,0.13,18.07,0.01,84.26
629,0.01,0.12,22.33,0.01,83.84
630,0.01,0.09,27.32,0.01,83.47
631,0.01,0.07,33.13,0.01,83.16
632,0.01,0.07,40.51,0.02,83.05
633,0,0.06,48.82,0.01,83.04
634,0,0.04,57.16,0.01,82.74
635,0.01,0.05,64.1,0.01,82.57
636,0,0.05,69.15,0.01,82.57
637,0.01,0.04,71.31,0.01,82.33
638,0,0.04,71.82,0.01,82.45
639,0.01,0.04,69.47,0.01,82.8
640,0,0.03,68.02,0.01,83.27
641,0.01,0.04,66.93,0.01,83.77
642,0.01,0.03,66.7,0.01,84.65
643,0.01,0.03,67.64,0.01,85.3
644,0.02,0.03,68.34,0.01,86.45
645,0.02,0.04,70.37,0.01,87.29
646,0.03,0.04,72.26,0.01,88.24
647,0.04,0.04,72.56,0.01,86.74
648,0.06,0.03,71.62,0.01,83.23
649,0.06,0.03,71.34,0.01,80.88
650,0.04,0.03,70.19,0.01,79.76
651,0.02,0.03,68.51,0.01,78.77
652,0.01,0.03,67.26,0.01,77.99
653,0.01,0.03,64.46,0.01,75.87
654,0,0.02,63.1,0.01,75.74
655,0,0.02,62.31,0.01,74.69
656,0,0.02,62.97,0.01,75.61
657,0.01,0.02,64.39,0,77.02
658,0,0.02,66.55,0.01,78.81
659,0,0.02,69.87,0.01,81.22
660,0,0.02,73.56,0.01,83.12
661,0,0.02,76.24,0.01,84.9
662,0,0.02,78.62,0.01,86.23
663,0,0.02,79.87,0.01,88.06
664,0,0.02,79.81,0.01,89.16
665,0,0.03,77.84,0.01,89.62
666,0,0.03,75.6,0.01,90.79
667,0,0.03,73.24,0.01,91.38
668,0,0.03,72.27,0.01,91.05
669,0,0.02,72.07,0.01,90.83
670,0,0.02,71.9,0.01,90.96
671,0,0.03,73.46,0.01,89.96
672,0,0.03,76.59,0.01,89.57
673,0,0.03,79.47,0.01,88.02
674,0,0.03,83.03,0.01,86.6
675,0.01,0.03,85.95,0.01,85.54
676,0,0.03,89.44,0.01,83.37
677,0,0.03,89.76,0.01,82.22
678,0,0.03,91.56,0.01,80.27
679,0,0.02,90.86,0.01,79.63
680,0,0.03,88.52,0.01,78.67
681,0,0.03,86.6,0.01,78.58
682,0.01,0.03,85.55,0.01,78.63
683,0.01,0.04,84.56,0.01,78.73
684,0.01,0.03,84.88,0.01,79.16
685,0.01,0.03,85.68,0.01,79.76
686,0.01,0.03,87.13,0.01,80.57
687,0.01,0.03,90.04,0.01,81.65
688,0.02,0.03,92.41,0.01,82.92
689,0.04,0.03,95.28,0.01,84.64
